"report_name","ID","page_used","llm_year","llm_scope","llm_value","llm_unit","annotator_ID_1","annotator_ID_2","value_correct_1","value_correct_2","corrected_value_1","corrected_value_2","unit_correct_1","unit_correct_2","corrected_unit_1","corrected_unit_2","page_correct_1","page_correct_2","corrected_page_1","corrected_page_2","comment_1","comment_2","record_expert_needed_1","record_expert_needed_2","document_comment_1","document_comment_2","document_expert_needed_1","document_expert_needed_2","metric_name_1","metric_name_2","reporting_type_1","reporting_type_2","document_expert_requested_by_at_least_one_annotator","row_expert_requested_by_at_least_one_annotator_or_disagreement","Expert.ID.1.g1","Expert.ID.2.g1","Expert.document.comment.g1","started.g1","ended.g1","Value..Who.is.right..g1","Value.corrected..fill.in.if.necessary..g1","Value.Reasoning..select.if.necessary..if.multiple.apply.choose.first..g1","Unit..Who.is.right..g1","Unit.corrected..fill.in.if.necessary..g1","Unit.reasoning...select.if.necessary..if.multiple.apply.choose.first..g1","Page.corrected..fill.in.if.necessary..g1","Expert.comment.g1","Unclear.record..Yes.No..g1","Expert.ID.1.g2","Expert.ID.2.g2","Expert.document.comment.g2","started.g2","ended.g2","Value..Who.is.right..g2","Value.corrected..fill.in.if.necessary..g2","Value.Reasoning..select.if.necessary..if.multiple.apply.choose.first..g2","Unit..Who.is.right..g2","Unit.corrected..fill.in.if.necessary..g2","Unit.reasoning...select.if.necessary..if.multiple.apply.choose.first..g2","Page.corrected..fill.in.if.necessary..g2","Expert.comment.g2","Unclear.record..Yes.No..g2","row_disagreement_value_unit_page_or_unclear","True.value","True.unit","True.page","Unresolvable","Comment","Value.Ann.1","Value.Ann.2","Value.G1","Value.G2","non_expert_value_agreement","expert_value_agreement","true_value","Unit.Ann.1","Unit.Ann.2","Unit.G1","Unit.G2","non_expert_unit_agreement","expert_unit_agreement","true_unit","Page.Ann.1","Page.Ann.2","Page.G1","Page.G2","non_expert_page_agreement","expert_page_agreement","true_page","merge_ID"
"Allianz_2022_report.pdf","121",NA,2013,"1",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"No","No","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No",NA,NA,NA,NA,"No","No",13,14,NA,"14:51:59","15:09:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",11,12,NA,"11:12:00","11:25:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,NA,NA,NA,"No",NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,1
"Allianz_2022_report.pdf","122",NA,2014,"1",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"No","No","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No",NA,NA,NA,NA,"No","No",13,14,NA,"14:51:59","15:09:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",11,12,NA,"11:12:00","11:25:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,NA,NA,NA,"No",NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,2
"Allianz_2022_report.pdf","123",NA,2015,"1",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"No","No","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No",NA,NA,NA,NA,"No","No",13,14,NA,"14:51:59","15:09:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",11,12,NA,"11:12:00","11:25:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,NA,NA,NA,"No",NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,3
"Allianz_2022_report.pdf","124",NA,2016,"1",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"No","No","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No",NA,NA,NA,NA,"No","No",13,14,NA,"14:51:59","15:09:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",11,12,NA,"11:12:00","11:25:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,NA,NA,NA,"No",NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,4
"Allianz_2022_report.pdf","125",NA,2017,"1",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"No","No","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No",NA,NA,NA,NA,"No","No",13,14,NA,"14:51:59","15:09:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",11,12,NA,"11:12:00","11:25:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,NA,NA,NA,"No",NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,5
"Allianz_2022_report.pdf","126",NA,2018,"1",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA,NA,"No","No","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No",NA,NA,NA,NA,"No","No",13,14,NA,"14:51:59","15:09:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",11,12,NA,"11:12:00","11:25:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,NA,NA,NA,"No",NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,6
"Allianz_2022_report.pdf","127","92",2019,"1",0.33,"ktCO₂eq",5,8,"No","No",42,42,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"LLM extracted total emissions from wrong figure",NA,"No","No","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","Allianz Group operational greenhouse gas emissions - Scope 1","Scope 1","Graphic","Graphic","No","No",13,14,NA,"14:51:59","15:09:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",11,12,NA,"11:12:00","11:25:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,NA,NA,NA,"No",NA,42,42,NA,NA,TRUE,TRUE,42,"ktCO₂eq","ktCO₂eq",NA,NA,TRUE,TRUE,"ktCO₂eq","92","92",NA,NA,TRUE,TRUE,"92",7
"Allianz_2022_report.pdf","128","92",2020,"1",0.2,"ktCO₂eq",5,8,"No","No",29,29,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"LLM extracted total emissions from wrong figure",NA,"No","No","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","Allianz Group operational greenhouse gas emissions - Scope 1","Scope 1","Graphic","Table","No","No",13,14,NA,"14:51:59","15:09:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",11,12,NA,"11:12:00","11:25:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,NA,NA,NA,"No",NA,29,29,NA,NA,TRUE,TRUE,29,"ktCO₂eq","ktCO₂eq",NA,NA,TRUE,TRUE,"ktCO₂eq","92","92",NA,NA,TRUE,TRUE,"92",9
"Allianz_2022_report.pdf","129","78",2020,"1",28714,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,NA,NA,"No","No","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","Scope 1 – Direct GHG emissions","Scope 1 – Direct GHG emissions","Table","Table","No","No",13,14,NA,"14:51:59","15:09:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",11,12,NA,"11:12:00","11:25:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,NA,NA,NA,"No",NA,28714,28714,NA,NA,TRUE,TRUE,28714,"t CO2e","t CO2e",NA,NA,TRUE,TRUE,"t CO2e","78","78",NA,NA,TRUE,TRUE,"78",8
"Allianz_2022_report.pdf","130","92",2021,"1",0.14,"ktCO₂eq",5,8,"No","No",29,29,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"LLM extracted total emissions from wrong figure",NA,"No","No","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","Allianz Group operational greenhouse gas emissions - Scope 1","Scope 1","Graphic","Graphic","No","No",13,14,NA,"14:51:59","15:09:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",11,12,NA,"11:12:00","11:25:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,NA,NA,NA,"No",NA,29,29,NA,NA,TRUE,TRUE,29,"ktCO₂eq","ktCO₂eq",NA,NA,TRUE,TRUE,"ktCO₂eq","92","92",NA,NA,TRUE,TRUE,"92",11
